,UTC,MPL3115A2_Temp,HMC5883_0_Bx,HMC5883_0_By,HMC5883_0_Bz,HMC5883_1_Bx,HMC5883_1_By,HMC5883_1_Bz,HMC5883_2_Bx,HMC5883_2_By,HMC5883_2_Bz,HMC5883_3_Bx,HMC5883_3_By,HMC5883_3_Bz,HMC5883_4_Bx,HMC5883_4_By,HMC5883_4_Bz,HMC5883_5_Bx,HMC5883_5_By,HMC5883_5_Bz,HMC5883_6_Bx,HMC5883_6_By,HMC5883_6_Bz,HMC5883_7_Bx,HMC5883_7_By,HMC5883_7_Bz
3711,2017-08-22T10:24:17.000000,17.0625,-0.46158260107040405,-0.1747628003358841,-0.052248064428567886,-0.48717188835144043,-0.18957741558551788,0.31854042410850525,-0.49910488724708557,-0.17213764786720276,-0.03844538703560829,-0.5086053609848022,-0.1882527470588684,0.03287084028124809,-0.4986802935600281,-0.16809874773025513,0.11261463165283203,nan,nan,nan,-0.4791410267353058,-0.1610807329416275,0.03899580240249634,-0.5053204298019409,-0.33262595534324646,0.6483219265937805
3712,2017-08-22T10:24:47.000000,17.1875,-0.46151062846183777,-0.17473170161247253,-0.0522892102599144,-0.4871366322040558,-0.18959076702594757,0.31850603222846985,-0.4991215765476227,-0.17212873697280884,-0.038444261997938156,-0.5086906552314758,-0.18826822936534882,0.0328463651239872,-0.4986684322357178,-0.1681186854839325,0.11259126663208008,nan,nan,nan,-0.4790830910205841,-0.16107963025569916,0.03890685737133026,-0.5053048133850098,-0.33263495564460754,0.6483725309371948
3713,2017-08-22T10:25:16.000000,17.1875,-0.46156805753707886,-0.17473943531513214,-0.052230242639780045,-0.48712316155433655,-0.18957734107971191,0.31855258345603943,-0.4991037845611572,-0.17214320600032806,-0.03839867189526558,-0.5086488127708435,-0.18830059468746185,0.03286639600992203,-0.4986668825149536,-0.16810211539268494,0.11258123815059662,nan,nan,nan,-0.4791078567504883,-0.16108186542987823,0.03890683874487877,-0.5053437948226929,-0.3326457142829895,0.6484037041664124
3714,2017-08-22T10:24:47.000000,17.1875,-0.46151062846183777,-0.17473170161247253,-0.0522892102599144,-0.4871366322040558,-0.18959076702594757,0.31850603222846985,-0.4991215765476227,-0.17212873697280884,-0.038444261997938156,-0.5086906552314758,-0.18826822936534882,0.0328463651239872,-0.4986684322357178,-0.1681186854839325,0.11259126663208008,nan,nan,nan,-0.4790830910205841,-0.16107963025569916,0.03890685737133026,-0.5053048133850098,-0.33263495564460754,0.6483725309371948
3715,2017-08-22T10:25:46.000000,17.0625,-0.4615348279476166,-0.17472946643829346,-0.05222134664654732,-0.4871387779712677,-0.18962064385414124,0.31854167580604553,-0.49913719296455383,-0.17210309207439423,-0.03840866684913635,-0.5086531043052673,-0.1882961094379425,0.03281078115105629,-0.4986625909805298,-0.16811317205429077,0.11256448179483414,nan,nan,nan,-0.4790864884853363,-0.1610863357782364,0.03892798721790314,-0.5052996277809143,-0.33260899782180786,0.6483338475227356
3716,2017-08-22T10:26:16.000000,17.125,-0.46155935525894165,-0.17471392452716827,-0.05227361619472504,-0.4871287941932678,-0.18955954909324646,0.3186115622520447,-0.4991118013858795,-0.17211763560771942,-0.03846093267202377,-0.5086964964866638,-0.18821941316127777,0.03285304084420204,-0.4986904263496399,-0.16808541119098663,0.11254341900348663,nan,nan,nan,-0.47915229201316833,-0.16102078557014465,0.03894243761897087,-0.5053073167800903,-0.3326049745082855,0.6483772397041321
3717,2017-08-22T10:26:45.000000,17.25,-0.46153172850608826,-0.17474280297756195,-0.05226247385144234,-0.48717305064201355,-0.18956075608730316,0.3185729384422302,-0.4990890622138977,-0.17210201919078827,-0.03841089457273483,-0.5086953639984131,-0.18826398253440857,0.0328274704515934,-0.4987083375453949,-0.16807438433170319,0.112582266330719,nan,nan,nan,-0.4790954291820526,-0.16108298301696777,0.0389024093747139,-0.5053371787071228,-0.332600474357605,0.6483638882637024
3718,2017-08-22T10:27:14.000000,17.0625,-0.46158814430236816,-0.17475055158138275,-0.05223245173692703,-0.48717421293258667,-0.18958733975887299,0.3185581564903259,-0.4990857243537903,-0.17208987474441528,-0.038406457751989365,-0.5086543560028076,-0.18825727701187134,0.03284858912229538,-0.49869605898857117,-0.16811545193195343,0.11258111149072647,nan,nan,nan,-0.4791310727596283,-0.16106848418712616,0.0389268659055233,-0.5053204894065857,-0.3326437473297119,0.6483861804008484
3719,2017-08-22T10:26:45.000000,17.25,-0.46153172850608826,-0.17474280297756195,-0.05226247385144234,-0.48717305064201355,-0.18956075608730316,0.3185729384422302,-0.4990890622138977,-0.17210201919078827,-0.03841089457273483,-0.5086953639984131,-0.18826398253440857,0.0328274704515934,-0.4987083375453949,-0.16807438433170319,0.112582266330719,nan,nan,nan,-0.4790954291820526,-0.16108298301696777,0.0389024093747139,-0.5053371787071228,-0.332600474357605,0.6483638882637024
3720,2017-08-22T10:27:42.000000,17.3125,-0.46160250902175903,-0.17472957074642181,-0.05225358530879021,-0.4871789515018463,-0.1895696073770523,0.31860485672950745,-0.4991548955440521,-0.17208214104175568,-0.03841646388173103,-0.508674144744873,-0.18830949068069458,0.03287416696548462,-0.4986061751842499,-0.16808199882507324,0.1125045120716095,nan,nan,nan,-0.4791111350059509,-0.16104955971240997,0.038911301642656326,-0.505268394947052,-0.3326237201690674,0.6483926177024841
3721,2017-08-22T10:28:11.000000,17.1875,-0.46156927943229675,-0.1747061163187027,-0.05223914608359337,-0.48714858293533325,-0.1895851492881775,0.3185839056968689,-0.49912577867507935,-0.17213112115859985,-0.03842758387327194,-0.5086628794670105,-0.18822380900382996,0.03285526856780052,-0.49863916635513306,-0.16809645295143127,0.11254338920116425,nan,nan,nan,-0.47909435629844666,-0.16102294623851776,0.0389024056494236,-0.5052993893623352,-0.3326260447502136,0.6483968496322632
3722,2017-08-22T10:28:40.000000,17.1875,-0.46159467101097107,-0.17472270131111145,-0.05223468318581581,-0.4871744215488434,-0.18961076438426971,0.3185848891735077,-0.4991236925125122,-0.17212986946105957,-0.038397546857595444,-0.5086541771888733,-0.18822719156742096,0.03282412514090538,-0.4986537992954254,-0.1681031435728073,0.11256226152181625,nan,nan,nan,-0.4791454076766968,-0.16107295453548431,0.03896022588014603,-0.5052783489227295,-0.33260369300842285,0.6483648419380188
